id	PositiveTail 1	PositiveTail 2	PositiveTail 3	PositiveTail 4	PositiveTail 5	PositiveTail 6	PositiveTail 7	PositiveTail 8	PositiveTail 9	PositiveTail 10
Abe_2019-1	0.0824966356958763	0.0	0.012916392928327136	4.381507171247634e-06	5.9369978354082835e-08	0.015591704374304202	0.0	0.10154898606867574	0.0	2.7248027340259394e-12
Abu-Akel_2020-1	0.011472608287916899	0.0	0.0	0.0	0.0	0.011648193768621837	0.0	0.0	0.0	0.0
Alkire_2018-1	0.03398029466645232	0.040638067356426846	0.011648505582204897	3.43382473228937e-06	0.0009287513636054664	0.019947786653394403	0.058909614765488866	0.0015621497730286826	0.10701616409867591	0.056879739829398625
Anders_2015-1	0.0	8.73503153866666e-11	8.612239949553879e-06	0.0	0.0	0.02430313740678293	4.2745570888624515e-12	0.0001093549317754468	0.0	0.0
Bault_2011-1	0.005353121071783265	0.03723714709384103	0.004575993559359574	0.06759607592379517	0.0	0.021946378616340204	0.048175908778055776	1.6826271190191107e-05	1.4175680352624102e-07	0.028461765691774447
Bereczkei_2015-1	0.022053614650191435	0.05369488858301545	3.0402085542850115e-08	0.08969724726691027	0.13449206338637518	0.021992698343017227	0.03568942980180184	1.3844040861677056e-06	0.00023284163660288335	0.07572096009927035
Berns_2005-1	0.020823214735696503	0.002549896642486848	0.0009958417248483466	4.929335260861478e-08	0.0	0.032278876753545405	0.024161073762458244	0.0	0.030526174465305124	0.0005628356940163592
Beyer_2018-1	0.02945102310679273	0.0	0.049412849044455115	0.0	0.0001756714558267097	0.0	0.0	0.07827901922390919	0.0	8.608059260180999e-08
Bitsch_2018-1	0.021270081559607263	0.03466650449196803	2.8478143599009846e-07	0.04902937831608076	0.08642862444387171	0.022532239748050173	0.0	6.992768941867018e-07	0.0	0.022458390410377827
Brune_2013-1	0.0	0.0201365301039197	0.0	0.054964315673688195	0.0	4.723095213230964e-11	0.03958160706161551	0.0	0.013443875347416836	0.017274452642772338
Buades-Rotger_2017-1	1.5077746867474007e-07	0.0	0.00011938594962578526	0.0	0.0	2.907695209634546e-06	0.0	0.0	0.0	0.0
Chaminade_2012-1	0.04954908335224539	0.0	0.0005631472891467605	0.003105637834913739	0.0024254942056674304	0.01799393589436485	0.0	1.0805828631137375e-06	0.0011357519286162186	0.0
Chaminade_2015-1	0.03428756990863549	0.0	0.015267184316717385	0.0	0.0	0.023088414053345822	0.0	0.0	0.0	9.495000369859336e-07
Chauvigne_2018a-1	3.2819298258454e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
