Feature,aMPFC_r,dACC_r,dMPFC_r,lAI_r,ldLPFC_r,lIPL_r,lTPJ_r,pACC_r,PCC_r,rAI_r,rdLPFC_r,rIFG_r,rIPL_r,rTPJ_r
 action actions smokers,0.0020558696965147,-0.0057013988344795,-0.0060130026602246,-0.0147199444676808,0.0225883137919674,2.843233475360646e-05,0.0113388567360615,0.0001654562079634,-0.0066045014688146,-0.0072003486547073,0.0202456973284919,0.0113111217508704,-0.0066108589486194,0.0305245852114095
 ad disease mci,0.0022302725056714,0.0137374363081601,-0.0202169443443048,-0.0242664789655515,-0.0396414367538796,-0.0307660977421817,0.0102323522106536,0.0261570315898877,0.0378055201796618,-0.0128604918138296,-0.0163167723790229,-0.0168121856434936,-0.0132259282987147,-0.0069714422415709
 adhd food weight,0.0067179687477841,-0.0054292336032199,-0.0035764490969978,-0.0009717894319473,-0.0264449126473951,-0.02829347270521,-0.0223069172033313,0.0149086353312746,-0.0120204475939024,0.0221890765405282,-0.0155226307050421,-0.0108193707990888,-0.0131253405477079,-0.021932892011991
 adults age older,0.0403709983129399,0.0274882173578288,0.0339835646526674,0.0156178825793294,0.04881327151539,0.0208025315295571,0.0215107531911456,0.0299379359742933,0.0178328343065702,0.0116830851999094,0.0250850039775585,0.0105011406210939,0.0292967075832955,-0.0085369223498235
 allele genetic gene,-0.0097909192082053,-0.0110164007085859,-0.0249902060533025,-0.0117058346651608,-0.0317776473070214,-0.0389440124282178,-0.0261297834338429,-0.014926190059424,-0.0288558193130432,-0.0098172245053828,-0.016006058338566,-0.0167252493721421,-0.027652026988816,-0.0085748290325574
 amygdala emotional faces,0.0005947434506054,-0.0095265164821932,-0.0173739703089336,-0.000937428239728,-0.0458664887270203,-0.059964256454442,-0.0337958020868449,0.0105553745100564,-0.0166854796769536,0.0191267347180624,0.0253642895922015,0.0249807061496589,-0.0374752712218667,0.0044692016452176
 attention attentional task,-0.0225861561514397,0.0067006779720508,0.0136483059375331,0.0215134573265131,0.0433012300532362,0.0806336433036858,0.0100390947048344,-0.0249124323742148,-0.0132173134515867,0.0059491759813496,0.0106756404487363,0.0175948384619394,0.0438418757033402,0.0252008736947493
 auditory sounds sound,-0.0239893192999119,-0.0334773668031379,-0.0284429752633269,-0.0101028239184209,-0.0171446773914071,-0.0323466022481858,-0.0291302743564385,-0.0243931035128076,-0.0388247544603155,-0.0247280198767454,0.0084489074953387,0.0114552855517712,-0.023699143577958,-0.0056346221591738
 caudate ofc thalamus,-0.0105963934131176,0.0051891443947383,0.007212723602677,0.0266789494746445,-0.0379200929870107,-0.0329128587774066,-0.0104701335931052,-0.0028056259792882,-0.0235514075615387,0.034764824562689,-0.0212255185848225,-0.002188916806469,-0.019938944340765,-0.0248086842976232
 cbf cerebral perfusion,0.0043521957025571,-0.0101823258254057,-0.0218966285021988,-0.0338500074507614,-0.0325909197668622,-0.0244507219563773,-0.0134368074573896,-0.0016788220758705,-0.0069749305131139,-0.0221674504444018,-0.0265323027261708,-0.0270532262851945,-0.0144412041716673,-0.0213591408431075
 cerebellar cerebellum timing,-0.0201551779222131,-0.0208094279684077,-0.0171676296003781,-0.0129487160193895,-0.0142994702000583,-0.0109381985854671,-0.0280238470015259,-0.0254062018525638,-0.0253695308035141,-0.0195796351388312,-0.011344842385603,-0.0102082707367888,-0.0174671529518796,-0.0244268382755555
 children adolescents age,0.0221905334414006,-0.0089017119311573,0.0022855363603086,-0.0050892897867974,-0.0020210614888595,-0.0038736278050059,0.0013631985946271,0.0182000608321323,0.0095572981571765,0.0116832012260698,-0.0106372221704879,0.0052529977547757,0.0146894775031774,0.0036721928129282
 conflict interference control,-0.0308514574204366,0.0362221973923413,0.0569342543399321,0.0272722978936268,0.0664631366933971,0.0506194662089601,-0.0202774723723331,-0.0120954363242608,-0.0198250627626509,0.024821615855914,0.0426624845036791,0.0160691872354249,0.0112953521204598,0.0018038029967171
