Feature,aMPFC_zRvrs,dACC_zRvrs,dMPFC_zRvrs,lAI_zRvrs,ldLPFC_zRvrs,lIPL_zRvrs,lTPJ_zRvrs,pACC_zRvrs,PCC_zRvrs,rAI_zRvrs,rdLPFC_zRvrs,rIFG_zRvrs,rIPL_zRvrs,rTPJ_zRvrs
 action actions smokers,1.8124959769622484,0.2021242278164984,0.7120754333674312,-0.8528152247113224,-0.5249634164339201,-1.8355419693374384,0.2143267983829359,-0.8917739319456207,-0.564172346718805,-1.0070820184037146,0.8699147940423714,0.6373906104058671,-0.6030631992325499,0.080201014867915
 ad disease mci,0.7703700199406154,0.9351315935900618,-1.4087149876951075,-3.282403130031521,-4.16321370968627,-2.9104129363944287,0.4403827753618243,2.695811153454309,1.4745086161987295,-0.4877976678942061,-1.1623376692943332,-2.644343608186789,-1.8390962907186816,-0.6003013724985689
 adhd food weight,-1.1309764104501885,0.6980511370530302,0.1116157332662137,-1.2449774697579574,-2.6238363481986573,-3.1032637413014466,-0.2845332367603965,-0.0441064453226348,-1.40126049833952,1.3306223670138833,-0.3534865400609996,-1.0835308865363622,-1.2830625261145814,-1.543199486762734
 adults age older,3.288335503120861,0.733876554662924,0.6080584811174263,0.3618252512764405,2.610734859806417,-1.2509029339209228,1.0806579044313316,1.13685858063525,0.2948614808819639,0.241773498693501,0.2537396067386661,-0.1505325296984009,0.3283264322835886,-0.4754898929771922
 allele genetic gene,-1.4287738445814069,-0.3164748695802304,-1.8575009753187304,-1.4087127078925985,-3.0115352338990498,-2.8623513274819925,-1.464485677871581,-1.4060410832358587,-0.2464368729698882,-0.9805791380259862,-0.903072699281956,-0.8720276305841963,-3.0585082659496448,-0.2089980139554993
 amygdala emotional faces,1.1341485885316156,0.2407013924442688,-0.4490292994799085,-0.8309535692149201,-3.417221066008428,-3.4618389031858654,-0.91573791858431,0.7692237514498186,0.477161105742819,0.6204196203265188,2.162104825987352,1.811804992309132,-1.1503985004653612,1.196052463755248
 attention attentional task,-2.579872950436617,-0.7282905373622395,1.4522297630872314,2.445366535519595,4.057387143689849,3.7104169233412185,2.211522509492965,-1.401931219277873,0.3484639467930381,1.520871224920428,0.6298937084972472,1.5281070492718034,2.124881115828224,1.380667669053372
 auditory sounds sound,-0.4978298920801605,-1.0997256059223597,-0.6436951374100573,-0.0164644515502084,-1.4723479636228292,-0.4596647701249033,-1.9861606860157224,-0.6271253504735554,-1.4327223729740146,-0.5808697015311814,1.8418831366347392,1.4069974796964697,-0.556696220721095,-0.9592015509124836
 caudate ofc thalamus,-0.2727893104849236,-0.225365290888346,0.9480722970913372,-0.4894758791583765,-2.5633612609867256,-3.283614908631934,-0.6329974168832342,-0.6655890164965782,-3.5735251023480337,1.7945582219223415,-0.658076133136994,-0.4988353891085637,-1.586350215637864,-1.363457149783718
 cbf cerebral perfusion,0.4263902169131252,-1.2627286843125605,-1.7172087484587597,-2.15707612697681,-1.4971665708561233,-1.3741728368609014,-1.028219082125741,0.1326435784904378,-1.9272378460609767,-1.0921691219735374,-0.5360489779349058,-2.242901218496349,-0.8740788712670132,-2.351157395815188
 cerebellar cerebellum timing,-2.1449544872986746,-1.513389416003782,-0.7955606821701747,-0.9583430866039409,-1.7317145970958665,-1.508571300847136,-2.0465303549859613,-0.3206647700726227,-1.7412526408618083,-0.9856546681662914,-0.3385852064501852,-1.7009770320052529,-0.1790833829942187,-1.2040534805314775
 children adolescents age,0.559213937929187,-1.1282870812563413,-0.9084683794935512,-1.893779950875499,0.274133525541647,0.4518481466653882,0.9907105779632818,0.921032191996162,0.5151945037084468,0.4096377210698496,-2.3943636745731105,0.0613466330738224,-0.1363339574433486,-0.5800708033510732
 conflict interference control,-1.9478771706219264,1.745403796681943,2.4464599255394304,2.46756410598316,3.9209022167970655,2.387935079250746,-0.7468377831350328,-0.4739640069201871,-1.1402275900672831,0.0814784174785726,2.287055340468172,1.836181496760496,-0.4083856641009704,-0.5910469521322256
