Feature,aMPFC_zRvrs,dACC_zRvrs,dMPFC_zRvrs,lAI_zRvrs,ldLPFC_zRvrs,lIPL_zRvrs,lTPJ_zRvrs,pACC_zRvrs,PCC_zRvrs,rAI_zRvrs,rdLPFC_zRvrs,rIFG_zRvrs,rIPL_zRvrs,rTPJ_zRvrs
 abnormal disorder abnormalities,-1.1633825942001954,2.396283120009401,-1.4642952832432965,-2.6953996473980992,-2.641026335234471,-1.0366695816042408,-1.0491131747375817,-0.5187763159114552,0.591962843378305,0.3869719237296591,-1.48053237742808,-0.7238990173478149,0.1135261454084462,-3.0477899738696177
 abstract concrete concepts,-0.8475354256761023,-0.1788546208090443,0.1619669990783988,2.502514160151736,1.072414856526846,1.8167486041863308,1.2489728842204513,0.5018795841298741,0.7792925612926689,0.1819691489518694,-0.6415753839483012,0.4396791675823931,0.4121514721622336,2.768767417492945
 acc cingulate anterior,1.9191486592525009,2.0327943832765523,2.9372307431103875,2.032128545665125,-1.310789296277524,0.0423769081913506,-0.3405081105613998,2.044095944024247,-0.329080013449338,3.0594799249428406,1.6952389886467754,-0.248557720867885,-0.2750846558016486,0.7133518593450431
 action actions observation,0.8116481148118875,-0.0353871265696336,0.4171039008896443,-0.2876660757771653,1.7263238346125511,-0.2433005889141541,0.2718258607077521,-0.9597394178587018,-0.7548500890153803,-0.2397606552059954,0.7076109625156357,2.52636113772518,-0.1103343110099392,1.138502765107201
 acupuncture stimulation sa,0.1644475403116879,2.731416940005664,-1.3322904390202503,-0.4296243900882616,-0.5060252232205048,-1.8450492760522803,-1.1845724716551782,-0.8149432552334073,-0.6544133858349472,-1.2056083936468895,-1.2700895432852166,-0.2481859204276418,-0.8491725166955618,1.8673991069943197
 ad mci disease,1.1696498664992956,-0.107418961460289,-0.255764736216069,-0.7738347144374405,-2.3789802068818,-2.5841445527038664,1.7446502715354757,-0.2236269332898701,3.7696439567025206,-0.844627253523664,0.2235744451755117,-2.0785528859819515,-0.3077527156927149,-0.2892715777512776
 adaptation repeated code,-2.04964921789454,-1.908109742307953,0.2349704754530037,-1.597605031458513,-0.1319001076502792,2.109085353521732,-0.9604832578558504,-0.8401720778306104,-2.662868821692929,-0.6864145139596315,0.1005446017984249,0.8059043409806995,0.2136397745182008,-1.6500525751647794
 adhd disorder attention,-0.4450397671140924,-0.5400035244412847,-0.0971912115210855,-0.7769077315736816,-1.748758681324053,-1.598671109362558,1.3159488154379386,0.1561740489305688,-0.8244528236501443,0.9135695967723126,-0.2609704111558854,-2.0443508745502523,0.4640014847588433,-0.6950158451314695
 adolescents adolescent youth,0.5366219973688737,0.9510003462956442,0.1569154603639956,-1.821364566765597,-0.3908041323742272,-1.7822752402870856,0.9458345235018624,0.7912522122172414,-0.2833055531438274,1.4064542917826732,-1.4616945891458784,-1.67093029143516,0.6759338307326851,-0.24002853032965
 adults older age,1.7832232411914195,0.3748281241046474,0.3416561959930456,1.208175529988628,1.1632900668133312,-1.1825618708632155,1.662256753568375,-0.066877516026699,0.1495797109072385,1.9981311148334404,1.0421870492378034,-0.132160250417218,0.5663165582645894,0.0873753327486763
 age development adolescence,-0.8149061108622472,0.0191303029221913,-1.3352429802699497,-1.878462443435494,-1.4975561069259005,-1.201810604658521,-1.915561936103011,0.6361407498259094,0.5875019574227028,-0.4241143516166838,-2.411188166296313,0.7224824123902612,-1.314878320207555,-0.5107572083224017
 age years group,-0.4366435026233071,-0.0859029972319336,-0.0607769741764815,-2.280081195734668,-2.2475743541737767,-2.1385840430117304,-0.9930156068051704,-2.018951245897924,-0.355439682676482,-0.0434661984805543,0.415404340943336,1.6499742033699485,-1.902803496162188,-1.3771308800255528
 age young adults,2.366018426436746,1.2424827613144531,0.5128547721427146,-1.4279997532826365,0.4662786042265288,-1.5152391173008384,-0.2233507633379171,1.6785723523081837,-0.8835419636483415,-2.0977256271117546,0.2451572942951271,-1.0011460608778366,0.0466472262070247,-2.0337579287571
 alcohol substance impulsivity,-0.0086300624744014,-0.8881987233487632,-1.3059849274188324,-1.3412713841928277,-0.9911473332430236,-1.2551222968322415,-1.3348548184241975,0.6334170844616791,-1.762922623492429,1.0118358485567918,-1.1739301936072712,0.6014803599072753,0.1467041547623213,-1.0295512240485072
 alexithymia tas ks,-1.4405321030432996,-0.4435264964026312,0.9549495353745788,0.3488505154658469,-0.4986126522506253,0.077130282330893,-0.8357942157256522,0.3095609663531103,0.4612129128602032,0.4961155147197944,0.401801554094801,0.2927081805907959,-1.306595832522394,-0.5136286222426323
 allele genotype met,-0.7711663422508223,-0.0500931521785335,-1.0898247391224525,-0.2453450905841675,-2.480282221591628,-2.505269341821636,-1.0510546594465957,-0.9165311499352796,-2.0992266087506,-0.7822622191088787,-1.2492161899213872,-1.123065616579641,-1.728298291167057,0.1389479906505382
 als scores students,-1.2071970149625235,-0.2397868705449529,-0.8796988514754807,-2.2004400869070784,-0.7489824640753057,-0.0249433241620774,-1.3997420014705373,0.1425492752430251,0.1052643211612087,-0.239474421483686,0.0143861129933812,-1.282336896692902,-0.3908989622718851,-1.770245664880794
 amplitude spontaneous frequency,0.5083920055004214,-1.4793609795566638,-1.6716178277184328,-3.1483183952663736,-3.2306093758491947,-2.8007533142801675,2.358535633861347,1.0388534191132786,-0.5758048976998487,0.0503513306465747,-2.320199590566709,-1.182540084876368,-0.3682875513343107,-0.0232652451304539
 amygdala reactivity affective,0.6327739307859264,-1.358561488395663,-0.146110562492028,-1.121576947990909,-3.5588685176180817,-2.2964469895212662,-0.5532898769922023,1.0706550735834606,-0.947434339983947,0.0958300510778647,0.3238162164607629,0.9407263567007618,-0.7423064747420699,-2.1236298335089296
 anterior insula cortex,-0.8453129895507343,-0.4066990687563393,0.9907377807178204,4.050478348454109,-0.7750041945049714,-0.6350083005751536,-0.0270168729418045,1.8317512448937652,-1.894083469109895,4.536335102237844,-0.2030318524619552,0.8859752968918037,-0.7397508990207856,-2.525126359453491
 anticipation anticipatory aversive,0.748957635926635,0.2564675552087481,1.1011886088834368,2.112030683840709,-0.1576399604344608,0.0111771031869278,-0.2954650592019041,0.1493679128464668,1.0431482310272122,-1.7971073728392857,-1.5510409805933556,-0.6574981288708919,-1.1960974542204152,0.937122941829962
 anxiety trait anxious,-0.5941499245266719,-0.1981573254920854,-0.9587864795544696,-0.5204266322721683,-0.994821073266408,-2.7095804440827505,-1.2036292006133376,2.6080640601463703,-1.9213390013285656,-0.9435176096931386,-0.197202230012956,-0.4085668549014821,-1.8381033211735245,0.702779857293134
 apoe epsilon risk,-0.802320841987416,0.2683309559429719,-0.434102110284697,-1.145487311152786,-2.2860646729323726,-0.5420100170651284,-0.2573576233785473,0.2068163218365608,2.2723826300119967,-0.2828073595952028,-0.9957404427750166,-1.0672274529960644,-1.3544082146229492,-0.5887886699084126
 approach method techniques,0.0871784047330577,-1.1914633810047617,-0.4320110204951982,-0.7510774158974394,-0.3753906292455448,-0.8584544584741446,-0.1103634359253346,-1.0313229519151637,0.30832741631397,-0.8747303920686278,0.4336987999581246,0.1402045413668667,0.0519647817879591,-2.2357911389066407
 arousal subjective ratings,2.0458010439126104,0.4884858971916098,0.617564806770168,0.4325762049873041,-2.547499577677529,-3.1007915371231456,-0.575999109285387,0.5798545489134164,0.6136347387507837,0.9422632961213544,0.6644433469800656,1.4209360531212871,0.7124140780253287,0.4763481049828865
 asd autism spectrum,1.5896115340201389,-0.2727398709487837,-0.75486899198337,-1.8881041631959976,-0.9513985140344496,-0.900860195296997,-0.9728480179917997,1.0526543587842094,1.6381425714121394,-1.3302789151299346,-0.2911485663286825,2.6735393626636723,0.5914710830595205,-0.09890736067808
 association relationship relationships,-0.6638556253887746,-0.0772554641835109,0.1917568403338191,-1.3129843073571692,-0.2768830585842186,-2.301075171345017,-0.0104651682604169,0.0041993122954955,0.1481243576912152,-0.7499334070399275,-1.736416935442509,-2.0404546767119567,-1.427252779803085,-1.738370411948316
 attention attentional attended,-1.25359305106769,-0.2768944391726765,1.0935681894013392,1.5203297302683103,3.4978825891247856,3.8320192058313474,2.150966636569532,-0.0744121538958155,-1.4713980241902425,0.5984296390154947,0.0714690388009179,-1.3434947352294708,0.3824878080762473,1.458888899646945
 attention attentional orienting,-2.1433550755335697,-0.5150187929591499,1.86938999441038,1.141774558017646,1.7383889032819098,3.215140659936477,1.0209658064610765,-1.1587192428483135,0.0354762529047881,0.7204899236012511,-0.5338053171774405,0.7168768672159512,2.2236610465715265,-0.1617139952846014
 auditory sound cortex,-0.271015634177375,-1.2707971002201774,-0.475569866685254,-1.0999926574795895,-2.327425927536139,-1.2860228253542414,-0.924872278691696,-1.1116104695150455,-1.0713427429680629,-1.4821461520061128,0.2237669351200004,0.3987447251947635,-1.493666726823442,0.5210840664722061
 autobiographical memories memory,0.5969706028816717,0.3387990234311572,1.1545739773246582,0.3836092272161868,0.4373396673305547,-1.5544093107375636,1.5535166848195314,2.6415574802404294,1.833389693506632,-0.1308873703585874,-1.4533349777030438,3.0409362380550755,0.6434535344055938,1.6093782533493872
 autonomic skin arousal,-0.3047614390649977,-0.6732970330609194,2.247027091163817,0.8513748648953052,-1.8949703865538212,-0.2053108292726023,-1.7571023762746212,0.201198322566734,0.1749536538225986,0.6313653400335211,0.4769379046530536,2.5856864417133525,-0.3381427520832766,-0.7945664864539888
 awareness conscious consciousness,1.199070397184416,-0.84737017889218,0.6717922668443754,0.3232806742200675,-2.3432029285625187,-2.335010355344702,0.1855797846153573,1.2887400491943275,0.6839425639261981,0.7571232608663256,-0.9789102362108464,0.0316428801440133,1.1821951322976174,-0.6362077796645579
 basal ganglia thalamus,-1.387706401979992,-0.6595754471207022,-1.1769752614224591,-1.1886440518671626,-1.6543648462946785,-1.28305940048013,-0.6352045314782663,-0.2796662696122298,-1.24980954751126,1.5527748510496748,-0.9506102276995247,0.2731917928042868,-0.1367007145948092,-1.166926906980167
 beauty aesthetic art,2.5885742331969905,2.5681798166188416,0.7590404033702963,0.9746643492362472,0.8806207590962711,0.7567936314620478,0.3601371455368717,-0.5871510853466408,-0.9830356631651566,0.329123134092314,-0.3932634016754001,-0.4836560633792509,-0.6201060707682118,0.8919023696717735
 bias cr biases,1.2634864833536943,0.3551918410224479,-1.928366168438244,0.3409084529333228,-0.8875151067826429,-1.1087301277833754,-0.5619893606348828,0.248069285717999,-0.2894530398558423,0.1346556561038977,-0.3808167392084421,0.5020749966114418,0.6015988633843713,0.187652723311476
 bimanual sem unimanual,0.7338695708846367,0.1315900403303715,-1.2141349488536166,-0.144818263262414,-0.0485261044911756,-0.2516278006427436,-1.532952866300519,-1.1349905153042923,-0.0826108657765395,-0.042404522614645,-1.1343793588223154,-1.7089501556102211,-1.1715398249576912,-1.752092839720905
 bipolar bd disorder,-0.8543047513110775,-1.432952602692059,-1.6846751848879844,-0.173681967622282,-1.0582212804207345,-1.412668545307222,0.282354278939652,-1.4872286575416849,-1.110154436710573,0.6756838584345591,-0.7470636539309979,-1.290118377637728,-0.0014507165193106,0.5225800861413552
 blind sighted global,-0.8641363952963812,0.1785169151981464,-0.0317142722323283,-1.661998540065462,-1.1968334619468628,1.3718613793030912,-0.3802924568258616,0.0714046417003209,0.2271964207097513,-2.575888470018871,0.1239600472733279,-1.0816949970882113,-0.4223243195462422,-0.8243615010714644
 body bodies eba,-1.3151419806688267,0.4711149077824851,-0.1654101057012717,-0.6465813641386293,-2.456038720106553,-1.9529338576917108,-1.8904467944992904,-0.3825638805646797,-1.0762115907492973,-1.017638679481723,-0.8784718216159092,-0.49436524309796,0.5994767597444421,0.2649127567749429
 bpd disorder personality,0.1406455732834486,-0.3361950496535856,3.203592800202973,0.1365745592428034,0.6283524744205814,-0.1774729282134846,2.148447919983214,0.4597550209843273,-0.0582653912412058,-1.4531071718641728,-0.1066383368691454,-0.1958018077996464,-0.4125241312532769,-0.4054651119876537
