Feature,aMPFC_r,dACC_r,dMPFC_r,lAI_r,ldLPFC_r,lIPL_r,lTPJ_r,pACC_r,PCC_r,rAI_r,rdLPFC_r,rIFG_r,rIPL_r,rTPJ_r
 action actions observation,-0.0168838966158393,-0.0203126943543383,-0.0131184886162454,-0.0065896746304887,0.0536598805468475,0.0324704511386798,0.0049942226150042,-0.0154626123469746,-0.0110180444245395,-0.0143525226182773,0.0153065156218552,0.0135648181417249,-0.0043979122447438,0.027361093403329
 acupuncture stimulation vstm,0.0017698173652487,0.0058614349430321,3.1914167636328565e-05,-0.0024154041017325,-0.0052755536463873,-0.0134886122068597,-0.001968380123045,0.0073467605196628,0.0101980650118853,0.0009699978570366,-0.0083498619741594,0.0008037952668209,-0.003990128200218,0.0026241283129382
 ad disease mci,0.0070517689042009,0.0169644400313073,-0.0091472337615991,-0.0193206173193224,-0.0300927316730477,-0.0214134916849545,0.0161725115830771,0.0271819317053723,0.0355464591216059,-0.0068624531184471,-0.0095844867818273,-0.0191455604659786,-0.0092796455303345,-0.0029708627021702
 adaptation selective stimulus,-0.0253122704958924,-0.0260271858523059,-0.0125447566088329,-0.0192985161382138,0.0223916533007246,0.0184783073499643,-0.0160995202836782,-0.0289497795306787,-0.0229471538635957,-0.0360443461199164,0.0018479976425504,-0.0138084266412375,-0.0119277806294059,-0.0106205228441705
 adhd disorder attention,-0.0048194478557467,-0.0093195537017605,-0.0011192805603229,-0.007365781173784,-0.0198326552676259,-0.0092099494480921,-0.0047378720550246,-0.0045431297460899,-0.016336277350683,0.0032570978859356,-0.0055200011348111,-0.0130076692585646,4.430050721545288e-05,-0.0100033496394001
 adolescents adolescent age,0.0228493713363483,0.0038315148688921,0.0042540172935178,-0.0031938778374203,-0.0191866127565386,-0.0240631462021474,-0.0113261235374619,0.0136497891826146,-0.0037055401548402,0.0037642819692369,-0.0261315503554094,-0.0161750449942434,-0.00370589821925,-0.0060247488081445
 adults age older,0.0307656561221709,0.0233244009485068,0.032757754520471,0.0152103255824932,0.0479647393905043,0.0204835229293577,0.0226217321895185,0.0290973691417691,0.0174668256328762,0.0109398223217521,0.0235309559919904,0.0082055929118334,0.0311790631778065,-0.0057837511314894
 alcohol substance history,-0.0061381465376414,0.0092253266039204,-0.0032211648758007,-0.0111862623320849,-0.0132621505783003,-0.0086558176974952,-0.0171290675743973,-0.0067592025762989,-0.0251617498795043,-0.0031947899453971,-0.0024636423222371,0.0029762960387843,-0.0063670195118263,-0.0151177931849048
 allele genetic genotype,-0.0054417876923501,-0.0076003581123936,-0.0184671505212846,-0.012276087844173,-0.0275328818553524,-0.0318354443215948,-0.0238922076885666,-0.0179251376732396,-0.0229300585490972,-0.004134816918293,-0.0149117791075914,-0.0185209902124566,-0.0191827779526995,-0.0113007467089455
 amygdala threat fear,-0.005150041148309,0.0095464944462541,0.003779158998411,0.0262538935444724,-0.0387160022624362,-0.0483830162930088,-0.0212525626999097,0.0144462594938719,0.0014945513114936,0.0214204608945395,-0.012033657797795,-0.0014106118278145,-0.0123909943950807,-0.0053415319526086
