Feature,aMPFC_zRvrs,dACC_zRvrs,dMPFC_zRvrs,lAI_zRvrs,ldLPFC_zRvrs,lIPL_zRvrs,lTPJ_zRvrs,pACC_zRvrs,PCC_zRvrs,rAI_zRvrs,rdLPFC_zRvrs,rIFG_zRvrs,rIPL_zRvrs,rTPJ_zRvrs
 action actions observation,-0.796629463219346,0.1544765355976506,-0.4064420943603375,-0.6890861577062821,2.0218338391323214,0.147642426895607,0.3435679490571549,-1.1541645650590122,-1.1689226446785388,-0.6897032584797339,1.8892613747710776,1.7989401549362884,0.2114389374766956,1.1106447375127084
 acupuncture stimulation vstm,-0.1580197768637316,0.3806382300745745,-0.615791265490524,-0.6939045991755727,0.4897577616001753,-0.446950316993077,0.1014449908393333,0.2933772527949881,0.016418278434802,-1.788833808702846,-1.863246228628311,-0.2014907307330009,-0.3075623915825621,0.2441817792511021
 ad disease mci,-0.8859195020299824,1.277040344620788,-0.937097178472178,-3.28606355926003,-3.307591058716913,-2.3552157666974463,0.3048633969867309,1.6185077503192171,0.3477915204102828,-0.6896228996620536,-0.7054961225646239,-2.277386106995837,-1.4362470566916516,-1.4132982757998012
 adaptation selective stimulus,-1.3542048705738416,-1.4183925208076893,0.2636330445083366,0.1256773193112862,1.68908194143212,1.235204916446369,-0.4090205026855941,-2.192849496012861,-1.7766567333376627e-05,-2.381630278185289,0.5446542157174913,-0.3413379676665278,-0.4679507170154975,-1.013834370008125
 adhd disorder attention,-1.1657129840242528,-1.35780363138122,0.2127638710867185,-0.1135442475393563,-1.7621403697285838,-1.8443080115253945,1.3046969437776008,-0.2489593834216471,-0.8327450203985743,0.5665751821328742,0.3850785837155955,-1.4153014598560658,0.0642684779994893,-0.7019951438683827
 adolescents adolescent age,0.2423697343973184,1.7214697536975434,0.3296360149263749,-1.522276778403034,-1.4910968641451912,-1.0109987753030438,-0.6823916113146266,0.9746859548906778,0.0723391027822904,0.3974513880211319,-2.3402569946353844,-1.4760811417646444,-1.0435389626200398,-1.2894932352739583
 adults age older,2.50035471928169,-0.3442931514358907,-0.1224977880061959,0.0171662560528277,2.289639399220427,-0.7616834409412395,1.582090782777983,0.4579009627276921,-0.4081356961923291,0.5864228352157878,1.7462514285966924,0.4583669540564427,0.2808720988338893,-0.8961934128720688
 alcohol substance history,-0.6131270743098157,-1.3717744562554195,-2.2114944575022277,-1.261817686606284,-0.7249115311608731,-0.4470641192015875,-0.0870912873187071,1.232561464893759,-2.0572794887707646,-0.1347007174211249,-1.3827015745410811,0.2664175308778824,0.7028078816172841,-1.4805687052430023
 allele genetic genotype,-1.5775870073430571,0.5480024870709339,-0.0761198379488693,-0.1052351851695332,-2.3392963269425007,-2.278904163597728,-1.2036292006133376,-0.3145336187552126,-0.6954524243556888,0.2941521971527468,0.4058392100373046,-0.1159275869694048,-1.8381033211735245,0.3417557525868024
 amygdala threat fear,0.0033664707925412,1.3007508260016594,1.5076253899316958,3.508723297994628,-4.652582253710083,-3.1981867695280743,-1.1301843814988706,0.0962649226160463,-0.2602841683540042,1.31394475064794,-0.4328777550005253,-0.3530003942196016,-0.7749728360554747,-1.238386358597764
 anterior cingulate insula,0.5569143176118573,1.045615074797386,0.3220133721959822,2.452783357146031,-0.2131474161287522,-2.11300194141571,-1.9658337970040805,0.6620802485102765,1.0427672220953288,3.376953084998401,0.3110337597552061,-0.7382628480807187,1.6969790006573364,-0.5516344844047694
 anxiety aggression anxious,0.3246824494205845,-0.4980307314706347,-1.0281649005930726,1.2836233374770791,-2.493352060101484,-3.3333658471983214,-1.2192096263521148,1.809014487180556,-0.1689665811295224,-0.3919013902767126,0.2826307369519157,1.7089380191684738,-1.7234568820999256,0.00300064692254
 approach paradigm free,1.0370852261924082,-0.6153500228249648,0.250024845034881,-0.3588050753012152,1.7258910327184602,-2.017219846586147,-0.3768596899491453,-1.1004982356008992,0.6019091219231385,0.8547621200171144,-0.3025457689296462,0.138908472937519,1.551320416984161,-0.4895534363652113
 asd autism group,0.7137706205597051,1.5825718741643884,-0.5028581463963981,-2.141148323115712,-0.7852084726065406,0.0386916765919229,-0.4864901809303825,1.692878836881222,2.084330492914696,-0.5572954378307123,-0.5292023187761102,2.283766112491548,0.1031330288610425,1.2941021104111892
