id	PositiveTail 1	PositiveTail 2	PositiveTail 3	PositiveTail 4	PositiveTail 5
Assaf_2013-1	2.0076847327468382e-07	0.05404732464147834	0.0020504930573495414	0.0	0.0582961483953566
Caruana_2015-1	0.08255455449117464	0.055838703569919886	0.20589779949989126	0.05216973455046664	0.06498861674182714
Chauvigne_2018b-1	0.01674793890131312	0.06571804375175153	0.0056141261378381355	7.448468113882481e-08	0.0551236111535356
Fareri_2015-1	0.0	0.0	0.0	0.0	2.2802369530185615e-05
FeldmanHall_2012-1	0.10922020907661813	0.018132561241801733	0.008532586227756116	0.026437707930539556	0.008097219538056288
Fett_2019-1	0.07211496864140413	0.00017757756071692468	0.16507980170630587	0.2571156845815886	0.07468328858318797
Hallam_2014-1	0.050704973523772706	0.0	0.013521214966289299	0.17350970793696852	0.0432813603670459
Hu_2018-1	9.854695487303862e-06	0.0550608644308001	0.045782275090498176	5.438978636842986e-11	0.0
Jensen_2014-1	0.026708981115073527	0.046371367848297915	3.7227047122020988e-06	0.0	0.0
Kuhlen_2017-1	1.7067349392558521e-06	0.0	0.0	0.0	0.0
Langavant_2011-1	0.0	0.05866925086778268	0.0	1.0547940897897523e-08	0.0
Lemmers-Jansen_2020-1	0.13276688267654949	0.0	0.06365272804330012	0.17317639470512075	0.08900800451551064
Miyata_2021-1	0.06117348586927491	0.1311624737077343	0.15138820841673964	0.10253063263710006	0.08919268752647898
Nagy_2010-1	0.0012485533263523413	0.0	0.0037411999912216375	0.0	0.0
Noordzij_2009_Study1-1	0.0	0.04627391817512353	0.0	7.0335843263772075e-09	0.05856297023457194
Redcay_2010_Study1-1	0.039504998738960545	0.0960001279484049	2.423745004147852e-07	0.014325045333120094	0.04932364672868386
Redcay_2012-1	0.015350095131576267	0.10986222140583589	2.988412886694984e-07	4.896622749887573e-06	0.11252110109643845
Redcay_2013-1	0.019261629203362694	0.04002089384433113	4.45817043061612e-06	0.07649783567601721	0.0007612042513081082
Riedl_2014-1	2.8163068106112833e-06	0.0	0.0	2.7467832254232134e-05	0.00038938222356742794
Schippers_2009-1	0.0	0.0558703889144769	0.04484094025624978	0.0	0.0
Sperduti_2014-1	0.0	0.00046751746474812944	0.0	0.0	0.0
Vanlangendonck_2018-1	0.10732457502307341	7.714381326789837e-05	0.0	0.0012797052078284436	0.06632914437247339
Warnell_2018-1	0.0028026214052469783	0.009077119582273281	0.0	0.0	0.010367217878124559
Wilbers_2012-1	0.0	0.0	0.0	1.868068522578967e-07	0.0
Yoshioka_2021-1	0.2534323767321411	0.1478446813590489	0.2815709491393749	0.11520932571092456	0.21105578746223846
