id	PositiveTail 1	PositiveTail 2	PositiveTail 3	PositiveTail 4	PositiveTail 5
Assaf_2013-1	0.05393485142251085	2.0076847327468382e-07	0.0582961483953566	0.0	0.0020504930573495414
Caruana_2015-1	0.056142517719896694	0.08255455449117464	0.06498861674182714	0.05216973455046664	0.20589779949989126
Chauvigne_2018b-1	0.06564232700435908	0.01674793890131312	0.0551236111535356	7.448468113882481e-08	0.0056141261378381355
Fareri_2015-1	0.0	0.0	2.2802369530185615e-05	0.0	0.0
FeldmanHall_2012-1	0.018093482446021988	0.10922020907661813	0.008097219538056288	0.026437707930539556	0.008532586227756116
Fett_2019-1	0.0001771948504567589	0.07211496864140413	0.07468328858318797	0.2571156845815886	0.16507980170630587
Hallam_2014-1	0.0	0.050704973523772706	0.0432813603670459	0.17350970793696852	0.013521214966289299
Hu_2018-1	0.05502784927635524	9.854695487303862e-06	0.0	5.438978636842986e-11	0.045782275090498176
Jensen_2014-1	0.046278979386562114	0.026708981115073527	0.0	0.0	3.7227047122020988e-06
Kuhlen_2017-1	0.0	1.7067349392558521e-06	0.0	0.0	0.0
Langavant_2011-1	0.0585971360075595	0.0	0.0	1.0547940897897523e-08	0.0
Lemmers-Jansen_2020-1	0.0	0.13276688267654949	0.08900800451551064	0.17317639470512075	0.06365272804330012
Miyata_2021-1	0.13142582556428117	0.06117348586927491	0.08919268752647898	0.10253063263710006	0.15138820841673964
Nagy_2010-1	0.0	0.0012485533263523413	0.0	0.0	0.0037411999912216375
Noordzij_2009_Study1-1	0.04621056712095685	0.0	0.05856297023457194	7.0335843263772075e-09	0.0
Redcay_2010_Study1-1	0.09582528627641199	0.039504998738960545	0.04932364672868386	0.014325045333120094	2.423745004147852e-07
Redcay_2012-1	0.10965492757734734	0.015350095131576267	0.11252110109643845	4.896622749887573e-06	2.988412886694984e-07
Redcay_2013-1	0.04000447626282824	0.019261629203362694	0.0007612042513081082	0.07649783567601721	4.45817043061612e-06
Riedl_2014-1	0.0	2.8163068106112833e-06	0.00038938222356742794	2.7467832254232134e-05	0.0
Schippers_2009-1	0.055777819310208324	0.0	0.0	0.0	0.04484094025624978
Sperduti_2014-1	0.0004665164295551464	0.0	0.0	0.0	0.0
Vanlangendonck_2018-1	7.697755504964858e-05	0.10732457502307341	0.06632914437247339	0.0012797052078284436	0.0
Warnell_2018-1	0.009328312736774851	0.0028026214052469783	0.010367217878124559	0.0	0.0
Wilbers_2012-1	0.0	0.0	0.0	1.868068522578967e-07	0.0
Yoshioka_2021-1	0.14801110133084253	0.2534323767321411	0.21105578746223846	0.11520932571092456	0.2815709491393749
